sample_id,ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,organic_matter_percent,ec,drainage_class,texture_class,area_dekar,slope_percent,irrigation_type,water_source,elevation_meters,variety,previous_crop,first_hemp_season,avg_temp,seasonal_rainfall_mm,avg_humidity,avg_solar_radiation,rotation_n_credit,rec_nitrogen_kg_dekar,rec_phosphorus_kg_dekar,rec_potassium_kg_dekar,rec_irrigation_mm_week,expected_yield_ton_dekar,suitable
467,5.19,17.0,29.4,161.0,4.76,1.83,moderate,loam,584.2,11.3,drip,municipal,961.9,narli,cereal,0,34.0,153.4,36.6,19.5,0.0,0.0,0.0,0.0,19.069,0.144,0
468,6.25,31.9,34.5,86.6,5.27,2.62,poor,clay loam,298.9,16.1,flood,rain,914.6,other,legume,1,27.3,405.8,67.5,16.0,3.0,0.0,0.0,0.0,15.706,0.224,0
469,5.51,41.8,20.6,260.9,5.38,0.92,poor,silt loam,392.4,2.1,none,river,837.5,vezir,sunflower,0,16.9,375.2,47.9,13.9,0.5,0.0,0.0,0.0,0.0,0.295,0
470,7.64,51.6,34.4,127.5,4.94,2.31,good,clay loam,433.6,15.0,sprinkler,river,178.2,vezir,hemp,1,14.2,575.5,64.2,12.1,-1.0,0.0,0.0,0.0,1.165,0.311,1
471,7.7,78.2,31.8,189.2,3.76,2.14,excellent,clay loam,396.1,19.2,none,river,542.7,vezir,legume,0,9.7,262.4,45.3,12.1,3.0,0.0,0.0,0.0,0.0,0.233,0
472,6.5,52.0,31.6,62.7,5.1,3.29,moderate,loam,230.9,1.2,drip,municipal,568.0,vezir,fallow,0,30.9,418.9,39.0,21.2,1.0,0.0,0.0,0.0,8.893,0.399,1
473,7.57,29.8,34.5,99.0,6.39,1.14,good,sandy loam,451.0,16.3,drip,river,584.4,narli,cereal,1,23.8,440.6,58.2,17.5,0.0,0.0,0.0,0.0,6.349,0.356,1
474,5.35,20.4,15.3,179.3,2.18,2.0,poor,silty clay loam,269.3,20.0,none,river,656.1,other,fallow,0,34.8,275.9,55.4,13.8,1.0,0.0,0.0,0.0,0.0,0.056,0
475,6.6,37.2,33.1,170.7,4.44,0.53,moderate,clay loam,23.8,19.7,none,rain,196.2,narli,hemp,0,10.6,581.0,52.1,19.6,-1.0,0.0,0.0,0.0,0.0,0.254,0
476,5.92,34.8,36.4,163.8,4.77,3.72,moderate,silty clay loam,409.7,7.5,sprinkler,rain,868.7,narli,fallow,0,16.8,408.2,58.7,18.3,1.0,0.0,0.0,0.0,9.935,0.641,1
477,6.11,34.9,34.9,242.4,2.73,1.3,excellent,clay loam,23.3,20.7,drip,rain,401.9,narli,hemp,0,8.5,502.2,45.4,20.0,-1.0,0.0,0.0,0.0,3.76,0.312,0
478,5.98,51.4,15.4,107.3,3.77,3.44,poor,sandy loam,161.0,7.5,none,rain,1048.2,narli,other,1,33.9,503.2,47.5,23.8,0.0,0.0,0.0,0.0,0.0,0.146,0
479,5.85,45.7,40.6,76.3,6.37,2.96,moderate,loam,362.1,12.8,drip,rain,284.8,other,fallow,0,15.0,415.5,49.6,10.3,1.0,0.0,0.0,0.0,7.959,0.308,1
480,5.94,70.5,41.5,158.1,5.87,0.82,excellent,loam,287.3,7.7,flood,municipal,671.9,narli,cereal,1,19.1,348.2,59.3,10.7,0.0,0.0,0.0,0.0,17.144,0.682,1
481,6.51,66.9,37.2,168.2,4.16,2.57,poor,silty clay loam,73.4,12.5,drip,river,882.5,narli,fallow,0,24.5,646.5,72.6,20.7,1.0,0.0,0.0,0.0,0.0,0.331,1
482,7.22,57.3,10.7,202.5,2.87,2.16,excellent,sandy loam,252.9,6.8,none,well,29.2,vezir,hemp,1,31.1,442.2,73.4,17.5,-1.0,0.0,0.791,0.0,0.0,0.492,1
483,6.73,27.3,13.5,127.9,1.55,2.18,poor,loam,333.2,21.0,flood,municipal,1022.7,other,cereal,1,12.4,645.5,46.6,22.9,0.0,0.0,0.0,0.0,0.0,0.137,0
484,5.37,76.6,8.9,250.9,5.7,0.91,poor,clay loam,274.4,4.8,none,well,120.3,narli,fallow,0,27.6,210.9,72.8,11.7,1.0,0.0,1.54,0.0,0.0,0.314,0
485,7.4,38.4,17.4,84.6,3.51,0.13,excellent,clay loam,577.7,2.7,flood,municipal,923.5,vezir,other,1,35.0,192.2,67.2,15.5,0.0,0.0,0.0,0.0,27.184,0.253,0
486,5.97,24.1,17.2,184.2,1.7,0.71,excellent,sandy loam,55.5,17.8,flood,municipal,687.0,narli,hemp,1,33.3,632.7,72.1,21.3,-1.0,0.215,0.0,0.0,0.0,0.192,0
487,6.88,74.1,17.8,130.6,5.31,1.39,excellent,sandy loam,446.3,3.6,none,well,602.6,other,other,0,12.3,157.5,79.9,11.3,0.0,0.0,0.0,0.0,0.0,0.572,1
488,7.57,49.9,13.0,192.7,4.5,1.31,excellent,silt loam,94.4,14.6,flood,well,536.0,other,fallow,1,13.9,214.9,82.1,13.2,1.0,0.0,0.0,0.0,29.371,0.395,1
489,5.55,57.9,20.2,274.3,4.68,2.13,good,loam,210.2,8.6,sprinkler,well,827.8,vezir,other,1,13.3,241.1,42.1,10.5,0.0,0.0,0.0,0.0,16.265,0.547,1
490,6.45,37.4,31.3,239.7,4.17,1.86,moderate,clay loam,380.4,12.2,drip,municipal,727.9,other,sunflower,1,32.1,277.6,75.3,16.8,0.5,0.0,0.0,0.0,12.363,0.233,0
491,6.1,56.7,43.7,87.8,2.25,1.88,poor,sandy loam,339.3,6.9,flood,municipal,508.8,other,legume,0,34.2,241.3,76.0,22.4,3.0,0.0,0.0,0.0,22.67,0.117,0
492,5.6,63.4,27.4,231.6,4.1,2.17,poor,silty clay loam,230.3,5.5,sprinkler,municipal,191.4,other,cereal,0,31.2,263.1,81.5,20.0,0.0,0.0,0.0,0.0,16.697,0.252,0
493,6.2,40.3,27.3,152.7,3.62,1.36,good,sandy loam,63.4,15.7,flood,river,1016.9,other,fallow,0,9.6,355.2,42.2,21.5,1.0,0.0,0.0,0.0,17.876,0.281,0
494,7.36,57.0,22.5,102.5,5.59,0.38,good,loam,537.7,3.2,sprinkler,river,498.9,other,sunflower,0,8.3,208.6,50.6,11.4,0.5,0.0,0.0,0.0,17.476,0.375,1
495,6.36,19.6,44.2,260.3,2.88,1.16,poor,clay loam,506.0,6.0,none,rain,651.8,other,other,0,21.2,295.6,61.1,11.2,0.0,0.0,0.0,0.0,0.0,0.317,1
496,7.55,47.1,34.0,155.1,1.31,0.51,good,silt loam,544.7,14.3,flood,rain,740.3,vezir,sunflower,1,10.7,553.0,47.1,16.9,0.5,0.0,0.0,0.0,3.544,0.289,1
497,7.51,39.4,27.2,263.6,3.1,2.45,poor,silty clay loam,75.0,21.3,sprinkler,municipal,646.5,other,fallow,0,18.6,522.2,52.4,21.0,1.0,0.0,0.0,0.0,2.862,0.166,0
498,7.44,55.8,36.8,207.2,1.14,2.31,poor,silt loam,77.3,20.3,drip,rain,937.4,vezir,sunflower,0,17.3,636.8,47.4,16.2,0.5,0.0,0.0,0.0,0.0,0.19,0
499,7.31,50.6,19.9,148.3,2.92,3.28,excellent,sandy loam,213.6,13.8,sprinkler,municipal,915.0,narli,other,1,19.0,460.9,67.0,20.6,0.0,0.0,0.0,0.0,6.084,0.504,1
500,6.31,38.5,13.9,97.1,1.09,0.84,good,silty clay loam,426.1,12.6,sprinkler,rain,687.9,narli,cereal,1,27.2,607.3,68.2,21.9,0.0,0.0,0.0,0.0,0.0,0.453,1
501,7.21,72.0,37.5,195.0,6.34,1.36,moderate,clay loam,499.2,5.8,sprinkler,municipal,48.5,narli,other,0,14.6,262.9,67.4,13.0,0.0,0.0,0.0,0.0,18.419,0.51,1
502,7.51,41.9,28.4,185.0,3.27,3.41,excellent,silty clay loam,535.4,21.6,flood,municipal,887.7,vezir,hemp,1,32.3,618.5,51.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.2,0
503,5.39,78.8,37.0,171.6,3.62,1.32,moderate,silt loam,436.2,14.4,sprinkler,rain,310.7,narli,hemp,0,21.4,368.1,82.7,12.4,-1.0,0.0,0.0,0.0,12.113,0.332,1
504,7.6,24.6,33.2,74.4,4.95,2.32,poor,silty clay loam,304.7,15.6,sprinkler,rain,252.4,vezir,sunflower,0,26.2,315.3,63.5,22.3,0.5,0.0,0.0,0.0,13.178,0.203,0
505,6.83,61.3,21.3,86.3,6.38,2.49,excellent,loam,444.9,5.8,sprinkler,river,51.8,vezir,other,1,10.4,623.1,63.7,23.3,0.0,0.0,0.0,0.0,0.0,0.464,1
506,6.03,21.2,21.1,215.6,5.83,2.05,moderate,silt loam,252.8,5.4,drip,municipal,507.9,narli,fallow,1,31.7,180.5,62.9,19.6,1.0,0.0,0.0,0.0,17.453,0.324,1
507,7.4,51.9,21.9,75.3,1.95,2.58,excellent,loam,330.4,21.5,drip,river,667.7,other,cereal,0,27.1,589.8,43.9,12.1,0.0,0.0,0.0,0.0,0.476,0.352,1
508,7.87,76.1,37.9,128.6,2.6,1.46,moderate,silty clay loam,320.7,19.9,none,river,671.8,other,sunflower,0,33.1,424.0,54.4,16.3,0.5,0.0,0.0,0.0,0.0,0.114,0
509,5.57,41.3,21.3,261.7,6.07,3.26,poor,silty clay loam,72.8,14.6,none,river,325.2,narli,hemp,0,15.9,463.2,55.2,15.3,-1.0,0.0,0.0,0.0,0.0,0.264,0
510,6.17,47.3,37.1,123.2,4.76,0.31,poor,loam,569.1,7.1,sprinkler,municipal,818.4,other,legume,1,16.2,244.1,83.2,10.7,3.0,0.0,0.0,0.0,15.031,0.357,1
511,7.1,74.2,11.7,269.0,5.91,2.88,poor,loam,307.3,12.8,drip,well,1015.9,narli,other,1,15.8,602.2,68.0,22.8,0.0,0.0,0.426,0.0,0.0,0.31,0
512,7.75,41.1,13.8,191.7,4.42,1.11,excellent,silty clay loam,431.9,19.9,flood,river,1035.5,other,other,0,19.0,155.1,76.2,15.3,0.0,0.0,0.0,0.0,28.054,0.357,1
513,5.13,64.9,12.8,211.7,1.39,0.55,moderate,clay loam,58.6,12.0,sprinkler,municipal,1051.7,other,other,1,22.5,292.4,63.5,11.5,0.0,0.0,0.009,0.0,17.491,0.232,0
514,6.66,47.4,12.7,279.0,3.58,0.53,moderate,sandy loam,503.2,4.5,drip,river,490.8,vezir,hemp,0,19.9,534.6,68.1,17.1,-1.0,0.0,0.046,0.0,2.644,0.556,1
515,7.58,31.3,14.5,161.6,5.96,0.32,excellent,loam,569.2,11.4,sprinkler,river,697.4,vezir,other,0,8.7,370.3,77.2,18.4,0.0,0.0,0.0,0.0,10.12,0.294,1
516,5.33,19.2,27.2,63.8,4.96,2.92,good,silt loam,42.3,19.9,sprinkler,well,431.7,other,legume,0,28.8,209.8,46.2,18.8,3.0,0.0,0.0,0.0,15.44,0.281,0
517,5.85,55.0,24.6,224.6,4.76,2.49,good,clay loam,297.9,19.8,none,municipal,261.7,vezir,other,0,34.0,344.2,47.9,12.2,0.0,0.0,0.0,0.0,0.0,0.168,0
518,6.23,72.2,39.5,277.2,1.69,2.54,moderate,clay loam,264.3,9.5,none,rain,1048.6,vezir,sunflower,1,26.0,216.6,61.5,13.4,0.5,0.0,0.0,0.0,0.0,0.501,1
519,6.39,71.1,37.3,142.5,2.69,1.63,excellent,sandy loam,334.8,10.2,none,well,235.4,vezir,fallow,0,25.8,618.6,56.6,23.2,1.0,0.0,0.0,0.0,0.0,0.604,1
520,7.95,59.2,36.5,201.1,4.16,3.22,moderate,clay loam,203.6,5.8,sprinkler,rain,361.5,other,fallow,0,31.6,488.1,74.3,11.2,1.0,0.0,0.0,0.0,5.722,0.201,0
521,5.61,24.8,15.9,244.9,3.0,3.65,excellent,clay loam,216.4,4.3,flood,well,886.5,narli,cereal,1,11.2,605.1,55.5,17.9,0.0,0.0,0.0,0.0,0.0,0.587,1
522,5.75,22.4,43.0,260.0,1.53,0.25,excellent,clay loam,240.0,4.2,drip,municipal,1025.4,other,fallow,1,32.1,635.1,82.3,17.9,1.0,0.0,0.0,0.0,0.0,0.374,1
523,6.18,24.7,44.7,234.0,4.68,3.85,good,silt loam,432.6,20.9,drip,municipal,671.0,vezir,legume,0,23.9,645.9,53.3,13.5,3.0,0.0,0.0,0.0,0.0,0.384,1
524,5.96,25.8,32.0,214.1,2.45,3.99,good,sandy loam,178.2,21.9,none,well,379.6,narli,cereal,0,33.0,155.3,63.7,14.2,0.0,0.0,0.0,0.0,0.0,0.207,0
525,6.1,48.3,44.8,153.4,4.89,0.62,good,silt loam,340.4,11.0,flood,well,1006.4,other,legume,0,32.7,580.7,79.8,10.3,3.0,0.0,0.0,0.0,1.32,0.318,0
526,5.19,52.2,16.8,79.2,1.41,2.92,good,silty clay loam,60.8,13.0,none,municipal,869.0,narli,fallow,1,27.0,249.8,72.3,11.1,1.0,0.0,0.0,0.0,0.0,0.393,1
527,5.24,35.8,27.6,164.7,2.09,3.95,moderate,clay loam,187.1,15.0,drip,rain,219.7,narli,legume,1,13.3,221.9,62.1,23.6,3.0,0.0,0.0,0.0,16.655,0.268,0
528,5.96,79.5,14.0,199.8,4.26,2.45,good,loam,267.4,18.2,sprinkler,well,727.2,other,sunflower,1,12.4,180.8,59.7,22.6,0.5,0.0,0.0,0.0,21.437,0.341,1
529,7.93,58.8,19.8,229.7,6.03,2.82,poor,silty clay loam,172.2,18.6,none,municipal,821.6,vezir,sunflower,0,28.6,306.7,85.0,12.7,0.5,0.0,0.0,0.0,0.0,0.149,0
530,6.38,75.0,39.3,273.9,3.55,3.61,excellent,loam,102.4,16.6,none,well,963.2,vezir,hemp,0,25.1,349.7,35.7,21.1,-1.0,0.0,0.0,0.0,0.0,0.492,1
531,5.45,36.9,8.8,146.3,2.67,3.83,good,loam,130.2,13.5,none,rain,489.9,narli,hemp,0,9.6,630.7,38.3,14.5,-1.0,0.0,1.465,0.0,0.0,0.374,0
532,7.41,42.1,8.5,127.8,1.87,2.56,excellent,silty clay loam,90.7,3.3,flood,municipal,802.7,other,cereal,1,34.2,181.6,57.4,15.8,0.0,0.0,1.801,0.0,34.279,0.216,0
533,7.92,66.1,28.5,187.0,2.82,0.86,moderate,silt loam,473.3,12.8,sprinkler,river,898.4,narli,hemp,0,32.0,306.7,79.0,15.4,-1.0,0.0,0.0,0.0,12.556,0.187,0
534,7.7,76.6,34.9,74.7,3.14,0.85,good,loam,231.0,17.2,none,river,261.2,narli,sunflower,1,24.8,430.9,74.2,23.4,0.5,0.0,0.0,0.0,0.0,0.351,1
535,7.77,54.3,18.9,73.3,5.87,2.14,good,loam,478.6,9.6,drip,municipal,301.9,narli,sunflower,1,25.6,531.2,38.9,16.5,0.5,0.0,0.0,0.0,2.61,0.438,1
536,6.78,64.3,12.0,120.2,2.52,2.85,excellent,silt loam,114.5,3.3,drip,well,76.6,vezir,fallow,0,11.8,565.9,53.8,10.4,1.0,0.0,0.329,0.0,1.597,0.558,1
537,5.97,64.2,9.5,172.6,4.98,2.88,excellent,sandy loam,557.6,3.5,drip,river,1035.3,narli,legume,0,34.3,319.1,55.6,20.5,3.0,0.0,1.165,0.0,10.047,0.287,0
538,6.19,25.1,38.4,239.2,3.47,0.55,good,loam,158.8,14.4,drip,well,714.3,other,cereal,0,9.1,529.3,82.5,23.4,0.0,0.0,0.0,0.0,3.217,0.263,0
539,5.87,16.5,34.4,151.3,1.37,0.88,poor,loam,153.1,11.1,flood,well,648.1,vezir,fallow,0,12.4,256.4,61.8,22.8,1.0,1.931,0.0,0.0,20.799,0.24,0
540,5.48,28.1,30.5,133.6,2.8,1.12,poor,silt loam,282.0,10.1,none,river,219.6,narli,hemp,0,28.1,587.1,45.0,18.0,-1.0,0.0,0.0,0.0,0.0,0.269,0
541,5.16,55.7,29.0,254.6,2.39,2.09,good,sandy loam,145.5,4.4,flood,river,559.6,other,hemp,0,20.4,345.4,72.7,22.9,-1.0,0.0,0.0,0.0,18.077,0.361,1
542,7.81,20.0,12.0,60.1,1.17,0.3,poor,silt loam,559.5,7.0,none,river,125.0,vezir,cereal,0,34.2,520.9,53.6,13.9,0.0,1.789,0.302,0.0,0.0,0.124,0
543,7.8,78.9,41.8,86.5,4.5,3.81,poor,clay loam,121.3,2.9,sprinkler,rain,959.4,other,other,0,15.3,501.4,59.0,20.2,0.0,0.0,0.0,0.0,4.689,0.251,0
544,6.49,69.0,23.3,274.0,4.17,0.27,poor,silt loam,431.7,16.0,sprinkler,municipal,46.4,vezir,cereal,1,20.1,151.0,67.5,22.2,0.0,0.0,0.0,0.0,20.846,0.25,0
545,5.14,38.7,30.1,160.4,3.6,0.74,good,silty clay loam,333.6,7.4,flood,rain,207.9,vezir,sunflower,0,17.4,296.2,75.7,20.5,0.5,0.0,0.0,0.0,19.306,0.499,1
546,6.81,72.5,20.3,138.9,3.57,3.04,moderate,sandy loam,219.2,20.2,sprinkler,municipal,603.4,other,cereal,0,23.5,638.6,74.6,21.5,0.0,0.0,0.0,0.0,0.0,0.255,0
547,6.73,31.6,28.4,267.3,5.07,2.77,good,clay loam,87.8,16.2,flood,rain,585.0,vezir,cereal,0,28.2,493.9,84.4,13.2,0.0,0.0,0.0,0.0,6.817,0.32,1
548,7.15,73.1,43.9,236.0,3.72,3.67,good,loam,458.4,7.0,sprinkler,well,1047.7,narli,legume,1,16.0,253.5,76.4,19.5,3.0,0.0,0.0,0.0,19.385,0.646,1
549,6.79,37.3,21.9,126.8,4.41,3.69,poor,clay loam,586.7,11.2,flood,well,296.2,vezir,hemp,0,28.8,361.4,64.4,22.3,-1.0,0.0,0.0,0.0,17.858,0.266,0
550,7.89,64.3,11.2,115.5,1.51,1.06,poor,clay loam,240.3,7.8,none,well,368.7,other,other,0,13.8,355.3,35.5,11.8,0.0,0.0,0.565,0.0,0.0,0.2,0
551,7.09,40.2,42.2,203.8,1.27,2.38,excellent,loam,543.3,6.8,sprinkler,well,333.5,vezir,hemp,1,12.2,568.7,45.0,16.8,-1.0,0.0,0.0,0.0,1.619,0.418,1
552,7.32,17.9,14.8,134.8,4.76,3.4,moderate,clay loam,488.9,20.9,drip,well,197.6,narli,other,0,24.3,161.8,59.8,21.1,0.0,0.0,0.0,0.0,17.209,0.261,0
553,5.1,43.4,34.0,74.7,1.48,3.52,good,clay loam,252.8,20.3,sprinkler,well,46.0,narli,fallow,1,13.3,479.9,62.3,17.8,1.0,0.0,0.0,0.0,5.35,0.219,0
554,5.35,17.6,15.5,126.1,5.11,1.62,good,sandy loam,315.9,0.8,flood,well,347.6,narli,sunflower,0,31.2,550.6,44.4,16.6,0.5,0.0,0.0,0.0,3.677,0.277,1
555,5.44,23.3,26.9,249.5,1.37,2.1,poor,silty clay loam,115.5,14.0,none,municipal,1032.6,vezir,hemp,1,19.7,585.3,74.0,10.4,-1.0,1.129,0.0,0.0,0.0,0.241,0
556,7.6,63.7,12.7,195.3,5.35,3.57,moderate,loam,367.4,6.7,drip,rain,667.8,vezir,legume,0,27.0,538.5,73.6,10.6,3.0,0.0,0.05,0.0,1.953,0.373,1
557,6.82,74.8,39.6,163.4,3.68,3.05,moderate,clay loam,215.5,15.4,flood,well,291.7,vezir,sunflower,0,24.0,263.9,81.3,14.5,0.5,0.0,0.0,0.0,24.389,0.361,1
558,6.0,58.9,18.3,191.5,4.68,0.83,moderate,silt loam,130.2,15.2,flood,river,881.9,other,fallow,1,27.6,588.1,66.9,12.9,1.0,0.0,0.0,0.0,0.918,0.305,1
559,6.45,32.6,29.0,178.2,1.8,2.46,good,sandy loam,580.6,18.0,none,well,91.9,vezir,hemp,0,34.8,441.8,48.9,17.9,-1.0,0.0,0.0,0.0,0.0,0.168,0
560,6.79,46.0,22.3,86.3,2.0,1.51,poor,sandy loam,511.4,6.5,flood,river,866.6,other,other,0,9.1,480.1,38.0,11.6,0.0,0.0,0.0,0.0,8.768,0.226,0
561,7.26,75.3,21.1,112.0,1.13,2.38,moderate,loam,487.3,18.2,sprinkler,well,1050.8,narli,fallow,0,34.4,284.9,59.3,11.3,1.0,0.0,0.0,0.0,14.267,0.125,0
562,5.52,29.3,12.0,112.5,2.7,2.36,excellent,clay loam,143.8,2.7,drip,rain,789.4,vezir,cereal,0,18.4,457.5,54.0,17.6,0.0,0.0,0.372,0.0,5.993,0.508,1
563,6.5,55.0,39.0,193.4,3.05,2.84,excellent,loam,477.1,5.0,flood,municipal,457.5,narli,other,1,14.2,450.2,58.5,10.3,0.0,0.0,0.0,0.0,9.851,0.597,1
564,7.4,40.3,20.8,143.8,3.7,2.92,excellent,sandy loam,273.7,8.0,flood,municipal,1004.5,vezir,hemp,1,13.9,442.7,60.9,17.4,-1.0,0.0,0.0,0.0,10.953,0.575,1
565,5.48,55.0,28.5,115.1,3.89,1.1,moderate,silt loam,102.1,9.9,sprinkler,river,462.2,narli,fallow,1,31.5,460.5,63.6,21.0,1.0,0.0,0.0,0.0,6.676,0.238,0
566,6.41,42.5,14.2,63.8,6.29,2.45,poor,sandy loam,468.2,6.3,sprinkler,well,861.4,other,sunflower,0,12.1,616.1,47.3,10.1,0.5,0.0,0.0,0.0,0.0,0.269,0
567,5.4,18.1,13.8,89.1,5.74,3.35,good,clay loam,162.6,4.3,drip,river,195.1,other,legume,1,18.2,150.3,58.0,21.2,3.0,0.0,0.0,0.0,16.896,0.472,1
568,6.58,77.5,42.9,137.9,4.33,2.9,excellent,silt loam,323.6,9.3,none,river,889.2,narli,legume,0,17.9,299.2,65.2,15.8,3.0,0.0,0.0,0.0,0.0,0.766,1
569,6.92,24.6,40.0,233.9,5.12,2.63,good,clay loam,161.8,0.9,sprinkler,rain,293.2,vezir,hemp,0,18.0,252.3,41.5,23.4,-1.0,0.0,0.0,0.0,16.224,0.622,1
570,6.12,37.8,41.6,255.2,5.8,0.4,good,silt loam,496.2,12.4,drip,rain,93.2,vezir,cereal,1,21.7,155.5,40.1,20.4,0.0,0.0,0.0,0.0,18.365,0.487,1
571,6.0,54.8,20.8,131.8,3.02,3.22,poor,clay loam,459.9,9.8,drip,well,1098.5,narli,hemp,1,27.3,515.7,66.8,12.0,-1.0,0.0,0.0,0.0,3.303,0.318,1
572,5.66,17.9,8.4,89.2,3.3,0.86,moderate,clay loam,337.3,6.0,sprinkler,well,1090.3,narli,legume,1,21.0,183.0,58.4,23.7,3.0,0.0,1.651,0.0,21.119,0.546,1
573,7.94,70.3,43.4,116.8,4.07,3.57,good,silt loam,325.5,14.9,flood,river,264.3,narli,hemp,0,16.9,404.4,59.9,20.1,-1.0,0.0,0.0,0.0,12.509,0.435,1
574,5.32,24.6,16.3,232.4,5.84,1.07,moderate,sandy loam,424.5,11.4,none,rain,472.8,vezir,sunflower,1,12.4,390.6,81.4,10.9,0.5,0.0,0.0,0.0,0.0,0.311,0
575,5.09,75.9,12.4,111.9,5.84,2.02,excellent,silty clay loam,144.1,9.7,sprinkler,municipal,282.7,narli,sunflower,1,16.8,338.4,39.1,11.1,0.5,0.0,0.164,0.0,11.159,0.439,1
576,5.28,78.1,37.9,202.6,6.46,0.11,moderate,sandy loam,97.4,21.6,flood,municipal,739.3,narli,legume,1,16.4,200.0,84.8,11.2,3.0,0.0,0.0,0.0,25.021,0.289,0
577,6.47,32.4,18.8,244.1,1.39,2.49,moderate,sandy loam,288.2,18.8,sprinkler,well,556.1,narli,other,1,18.6,319.3,43.1,16.6,0.0,0.0,0.0,0.0,12.813,0.381,1
578,7.44,42.2,42.4,234.7,5.66,2.7,moderate,loam,287.5,15.6,drip,well,83.4,narli,cereal,1,20.1,224.7,38.7,20.8,0.0,0.0,0.0,0.0,13.998,0.371,1
579,7.83,50.9,29.7,266.2,2.15,1.95,poor,silt loam,110.8,4.6,drip,well,53.9,vezir,hemp,1,21.4,479.2,54.9,19.9,-1.0,0.0,0.0,0.0,4.423,0.343,0
580,6.27,35.5,41.9,184.6,4.85,0.13,moderate,silt loam,261.2,11.0,flood,river,65.4,narli,cereal,0,21.4,288.9,45.1,12.5,0.0,0.0,0.0,0.0,22.704,0.441,1
581,5.31,65.2,43.9,104.4,1.81,2.75,good,silty clay loam,246.6,11.9,sprinkler,rain,851.3,other,legume,0,27.4,423.6,61.9,20.6,3.0,0.0,0.0,0.0,7.486,0.418,1
582,7.38,45.8,40.5,264.4,6.03,2.47,moderate,silt loam,504.2,5.3,flood,municipal,982.8,narli,cereal,0,23.6,347.4,35.2,13.2,0.0,0.0,0.0,0.0,17.338,0.506,1
583,7.41,49.8,41.3,266.8,1.09,3.49,good,silty clay loam,404.7,11.2,sprinkler,municipal,862.0,narli,hemp,0,16.9,422.5,45.0,19.6,-1.0,0.0,0.0,0.0,8.698,0.518,1
584,5.39,63.7,17.6,204.6,4.69,1.72,excellent,loam,442.9,8.3,flood,municipal,1097.7,other,fallow,0,10.1,227.8,41.1,23.1,1.0,0.0,0.0,0.0,21.134,0.352,1
585,7.29,36.9,26.5,243.7,3.94,2.09,excellent,silty clay loam,181.4,2.3,drip,municipal,210.5,narli,fallow,0,27.6,605.5,66.0,23.6,1.0,0.0,0.0,0.0,0.0,0.681,1
586,6.57,59.8,15.2,278.0,5.17,1.47,good,clay loam,479.7,9.8,none,river,200.9,other,other,0,23.8,498.7,83.8,20.4,0.0,0.0,0.0,0.0,0.0,0.515,1
587,6.11,73.5,9.3,101.4,4.14,0.17,good,silt loam,261.0,18.5,flood,rain,112.0,narli,fallow,0,28.7,446.4,58.7,17.8,1.0,0.0,1.197,0.0,11.868,0.407,1
588,7.36,56.5,17.1,178.2,3.34,0.25,poor,sandy loam,564.6,14.8,sprinkler,municipal,900.9,narli,sunflower,1,19.1,187.2,61.5,11.1,0.5,0.0,0.0,0.0,20.643,0.222,0
589,7.61,75.5,30.3,247.3,2.99,0.47,good,silt loam,204.6,3.2,sprinkler,well,270.0,vezir,sunflower,0,22.9,420.7,78.0,21.4,0.5,0.0,0.0,0.0,8.356,0.481,1
590,6.66,34.3,41.1,225.5,1.22,3.68,excellent,sandy loam,401.6,6.3,drip,river,94.2,other,legume,1,20.9,384.6,53.1,17.6,3.0,0.0,0.0,0.0,8.377,0.689,1
591,6.95,52.0,40.1,198.8,1.09,0.95,moderate,loam,448.0,18.2,sprinkler,rain,25.7,other,sunflower,0,27.7,570.9,59.6,13.3,0.5,0.0,0.0,0.0,1.199,0.32,0
592,5.88,23.9,44.0,150.5,4.18,1.15,poor,clay loam,167.9,13.5,drip,well,458.0,narli,other,1,11.5,242.2,67.0,11.7,0.0,0.0,0.0,0.0,16.23,0.22,0
593,7.05,23.6,16.1,271.1,4.16,2.64,poor,sandy loam,259.7,7.8,none,river,178.7,other,legume,0,16.8,355.6,68.0,19.5,3.0,0.0,0.0,0.0,0.0,0.314,1
594,6.06,71.5,39.8,205.7,3.69,3.8,excellent,sandy loam,166.2,9.8,sprinkler,well,863.9,narli,other,0,15.8,356.7,79.1,12.0,0.0,0.0,0.0,0.0,11.874,0.561,1
595,6.04,56.9,24.6,211.5,2.52,1.96,excellent,silt loam,113.1,5.2,sprinkler,well,863.5,other,hemp,1,34.6,425.9,67.1,12.0,-1.0,0.0,0.0,0.0,8.359,0.268,0
596,7.59,48.6,19.5,148.8,1.35,3.83,poor,loam,541.3,5.9,sprinkler,river,697.7,other,legume,1,8.5,534.2,73.5,15.9,3.0,0.0,0.0,0.0,3.638,0.167,0
597,7.09,32.7,15.4,148.4,5.63,2.45,good,sandy loam,240.4,13.9,sprinkler,municipal,69.5,vezir,sunflower,0,14.5,316.7,46.4,23.4,0.5,0.0,0.0,0.0,12.942,0.457,1
598,6.23,17.9,25.3,177.7,5.06,0.5,excellent,loam,148.0,5.1,flood,well,59.5,narli,fallow,0,34.8,471.5,79.5,22.5,1.0,0.0,0.0,0.0,8.511,0.269,0
